
98310000-569f-0050-b1a8-08dd08130d87', '18105-00001'
04190000-569f-0050-8b79-08dd08131107', '18105-00002'
04190000-569f-0050-9965-08dd08131bca', '18105-00003'
04190000-569f-0050-8894-08dd08131ef8', '18105-00004'
04190000-569f-0050-b91d-08dd0813238c', '18105-00005'
98310000-569f-0050-4d14-08dd081326e3', '18105-00006'
98310000-569f-0050-91e6-08dd08132b74', '18105-00007'
242d0000-569f-0050-5fc4-08dd08132ff2', '18105-00008'
242d0000-569f-0050-bf9c-08dd08133492', '18105-00009'
04190000-569f-0050-707e-08dd0813392b', '18105-00010'
04190000-569f-0050-b207-08dd08133c9a', '18105-00011'
98310000-569f-0050-c697-08dd08134133', '18105-00012'
04190000-569f-0050-a320-08dd081344a4', '18105-00013'
04190000-569f-0050-543a-08dd08134829', '18105-00014'
242d0000-569f-0050-5973-08dd08134d1f', '18105-00015'
04190000-569f-0050-2a4e-08dd08135137', '18105-00016'
98310000-569f-0050-3488-08dd0813549d', '18105-00017'
98310000-569f-0050-134e-08dd08135942', '18105-00018'
98310000-569f-0050-c34e-08dd08135d1b', '18105-00019'
242d0000-569f-0050-7226-08dd08136245', '18105-00020'
98310000-569f-0050-9497-08dd081367da', '18105-00021'
242d0000-569f-0050-dcf2-08dd08136cb7', '18105-00022'
242d0000-569f-0050-0fc1-08dd0813724e', '18105-00023'
242d0000-569f-0050-48d0-08dd081375e8', '18105-00024'
242d0000-569f-0050-a232-08dd08137959', '18105-00025'
98310000-569f-0050-43f6-08dd08137ccf', '18105-00026'
04190000-569f-0050-06dd-08dd08138035', '18105-00027'
242d0000-569f-0050-8f1f-08dd08138490', '18105-00028'
04190000-569f-0050-9439-08dd08138848', '18105-00029'
242d0000-569f-0050-c78f-08dd08138c71', '18105-00030'
98310000-569f-0050-da7f-08dd0813902b', '18105-00031'
04190000-569f-0050-941e-08dd0813950c', '18105-00032'
04190000-569f-0050-f849-08dd08139963', '18105-00033'
98310000-569f-0050-4371-08dd08139ddd', '18105-00034'
242d0000-569f-0050-94f6-08dd0813a28d', '18105-00035'
98310000-569f-0050-ac49-08dd0813a85e', '18105-00036'
04190000-569f-0050-66ad-08dd0813abdb', '18105-00037'
04190000-569f-0050-4492-08dd0813af76', '18105-00038'
98310000-569f-0050-a9c7-08dd0813b312', '18105-00039'
98310000-569f-0050-ec02-08dd0813b686', '18105-00040'
98310000-569f-0050-ef46-08dd0813ba7a', '18105-00041'
98310000-569f-0050-5e1a-08dd0813c38b', '18105-00042'
04190000-569f-0050-45c1-08dd0813c6c5', '18105-00043'
